"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
2;"R1";"R_0805_2012Metric";1;"10KΩ";;;
3;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
4;"U5,U6";"DIP-24_W7.62mm";2;"MAX7219";;;
5;"C6,C5";"C_0805_2012Metric";2;"22p";;;
6;"SW1";"RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles";1;"RotaryEncoder_Switch";;;
7;"D2,D1";"KWM-30881CVB";2;"KWM-30881CVB";;;
8;"A_TP1,DO_TP1,TX_TP1,VCC_TP1,RX_TP1,B_TP1,VBAT_TP1,TP_GND1";"TestPoint_THTPad_D2.0mm_Drill1.0mm";8;"TestPoint";;;
9;"C3,C4,C10,C9";"C_0805_2012Metric";4;"C_0805_0.1uf";;;
10;"R12,R13";"R_0805_2012Metric";2;"R_0805_2.2K";;;
11;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal 16MHZ";;;
12;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
13;"R2,R3,R10";"R_0805_2012Metric";3;"R_0805_200";;;
14;"U4";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
15;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
16;"C2,C7,C8,C12";"C_0805_2012Metric";4;"C_0805_1uf";;;
17;"U2";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
18;"U3";"TO-92_Inline";1;"L7805_TO92";;;
19;"R9,R7";"R_0805_2012Metric";2;"R_0805_4.7K";;;
20;"C1";"C_0805_2012Metric";1;"10uf";;;
21;"R6,R8";"R_0805_2012Metric";2;"R_0805_22K";;;
22;"C11";"C_0805_2012Metric";1;"100n";;;
23;"J1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
24;"R11";"R_0805_2012Metric";1;"R_0805_1K";;;
25;"R4,R5";"R_0805_2012Metric";2;"R_0805_10K";;;
26;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
27;"SW2";"SW_SPST_Omron_B3FS-100xP";1;"Omron_B3F_SPST";;;
28;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
